"KensaResult(OK,/NG)",KensaTime,KensaSagyoushaName,DetectedPitch,TotalLength,KensaYarinaoshi
"(0, 0)",20240325_143604,,"[16.92, 41.3, 54.24, 93.55, 93.8, 22.39]",322.2,False
"(1, 0)",20240325_143753,,"[11.69, 118.18, 97.78, 107.98, 24.88]",360.51,
"(1, 0)",20240325_143758,,"[97.78, 107.98]",205.76,False
"(1, 0)",20240325_143804,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.39]",322.2,False
"(0, 0)",20240325_144023,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.64]",322.45,
"(0, 0)",20240325_144026,,"[17.17, 41.05, 54.24, 93.8, 93.55, 22.64]",322.45,False
"(0, 0)",20240325_144129,,"[17.17, 41.05, 54.49, 93.3, 93.8, 22.64]",322.45,
"(0, 0)",20240325_144258,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.64]",322.45,
"(0, 0)",20240325_144301,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.39]",322.2,False
"(0, 0)",20240325_144425,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.64]",322.45,
"(0, 0)",20240325_144429,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.39]",322.2,False
"(0, 0)",20240325_144509,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.39]",322.2,
"(0, 0)",20240325_144513,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.39]",322.2,False
"(0, 0)",20240325_144620,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.64]",322.45,
"(0, 0)",20240325_144622,,"[17.17, 41.05, 54.49, 93.3, 93.8, 22.39]",322.2,False
"(0, 0)",20240325_144711,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.64]",322.45,
"(0, 0)",20240325_144713,,"[17.17, 41.05, 54.24, 93.55, 93.8, 22.64]",322.45,False
"(0, 0)",20240325_145145,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.64]",322.45,
"(0, 0)",20240325_145147,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.64]",322.45,False
"(0, 0)",20240325_145149,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.39]",322.2,False
"(0, 0)",20240325_145535,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.64]",322.45,
"(0, 0)",20240325_145539,,"[17.17, 41.05, 54.49, 93.55, 93.55, 22.64]",322.45,False
"(1, 0)",20240325_145759,,"[11.94, 118.18, 97.53, 107.98, 24.88]",360.51,
"(1, 0)",20240325_145805,,"[118.18, 65.8, 33.09]",217.07,False
"(1, 0)",20240325_145813,,"[16.92, 41.3, 54.49, 93.3, 93.8, 22.39]",322.2,False
"(1, 0)",20240325_145815,,"[16.92, 41.3, 54.49, 93.3, 93.8, 22.39]",322.2,False
"(2, 0)",20240325_145825,,"[11.94, 118.18, 97.78, 107.98, 24.63]",360.51,False
"(1, 0)",20240325_150050,,"[11.69, 118.43, 97.78, 107.98, 24.63]",360.51,
"(48, 0)",20240325_150054,,"[11.69, 118.43, 97.78, 107.98, 24.63]",360.51,False
"(49, 0)",20240325_150056,,"[11.69, 118.43, 97.78, 107.98, 24.63]",360.51,False
"(47, 0)",20240325_150104,,"[17.17, 41.05, 54.49, 93.3, 93.8, 22.39]",322.2,False
"(47, 0)",20240325_150107,,"[16.92, 41.3, 54.24, 93.55, 93.8, 22.39]",322.2,False
"(47, 0)",20240325_150110,,"[16.92, 41.3, 54.24, 93.55, 93.8, 22.39]",322.2,False
"(1, 0)",20240325_150139,,"[11.69, 118.18, 97.78, 107.98, 24.88]",360.51,
"(1, 0)",20240325_150151,,"[17.17, 41.3, 54.24, 93.55, 93.55, 22.64]",322.45,False
"(1, 0)",20240325_150152,,"[16.92, 41.3, 54.24, 93.55, 93.8, 22.39]",322.2,False
"(2, 0)",20240325_150201,,"[11.69, 118.43, 97.78, 107.98, 24.88]",360.76,False
"(3, 0)",20240325_150202,,"[11.69, 118.43, 97.78, 107.98, 24.88]",360.76,False
"(1, 0)",20240325_151838,,"[11.69, 118.43, 97.78, 107.98, 24.88]",360.76,
"(2, 0)",20240325_151846,tt,"[11.44, 118.43, 97.78, 107.98, 24.88]",360.51,False
"(1, 0)",20240325_153648,,"[11.69, 118.43, 97.53, 107.98, 24.88]",360.51,False
"(1, 1)",20240325_153654,,"[2.99, 117.93, 97.53, 107.73, 25.13]",351.31,False
"(0, 1)",20240326_152816,,"[2.74, 118.18, 97.28, 107.73, 24.88]",350.81,False
"(0, 2)",20240326_152826,,"[6.47, 117.93, 97.28, 107.23, 10.45]",339.36,False
"(0, 3)",20240326_152832,,"[118.18, 97.53, 107.98, 24.88]",348.57,False
"(1, 3)",20240326_152836,,"[11.94, 117.93, 97.78, 107.73, 25.13]",360.51,False
"(2, 3)",20240326_152841,,"[11.94, 117.93, 97.78, 107.98, 24.88]",360.51,False
"(0, 1)",20240327_133250,,"[29.74, 261.03, 83.35]",374.12,False
"(0, 2)",20240327_133252,,"[29.74, 317.57]",347.31,False
"(0, 3)",20240327_133254,,"[29.74, 317.57]",347.31,False
"(0, 4)",20240327_133256,,"[29.66, 317.32]",346.99,False
"(0, 1)",20240327_133659,,[],0,
"(0, 1)",20240327_133839,,[],0,
"(0, 2)",20240327_133841,,[],0,False
"(0, 1)",20240327_133843,,[],0,False
"(0, 2)",20240327_133852,,"[2.49, 118.18, 97.53, 107.73, 24.88]",350.81,False
"(1, 2)",20240327_133900,,"[11.69, 118.18, 97.53, 107.23, 24.88]",359.52,False
